1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
1167857118 c383 I-O error, dev x:x (hda), sector x
