Total Length of Bwd Packet,Flow Bytes/s,Total TCP Flow Time,Total Fwd Packet,Fwd IAT Std,Bwd Packet Length Std,Flow Duration,Average Packet Size
234.0,12388.218885880711,0,2,0.0,0.0,24378,75.5
180.0,1379679.1443850268,0,2,0.0,0.0,187,64.5
318.0,1853658.536585366,0,2,0.0,0.0,205,95.0
15456.0,679.7876880543912,25409404,19,2993508.8560270704,784.8935078808146,25409404,454.55263157894734
4813.0,48.32078717814834,119906987,16,20500199.77282545,493.581208641303,119906987,186.9032258064516
138.0,1410256.4102564105,0,2,0.0,0.0,156,55.0
61.0,4507.377641706,0,1,0.0,0.0,23517,53.0
3776.0,7363.484313854715,561419,7,42136.05503445555,663.3397463198019,561419,295.2857142857143
248.0,10652.117433099507,0,2,0.0,0.0,30792,82.0
144.0,5955.546102307774,0,2,0.0,0.0,37612,56.0
146.0,5480.649608284859,0,4,25031.887190807916,0.0,59482,54.333333333333336
80.0,2667.2779178561755,0,1,0.0,0.0,47989,64.0
71.0,4145.418654383945,0,1,0.0,0.0,30395,63.0
127.0,828.3664026350874,0,1,0.0,0.0,204016,84.5
2941.0,741.4913221009342,5386442,8,1874048.4948673605,599.9391172814492,5386442,234.94117647058823
180.0,9118.23978327662,0,2,0.0,0.0,30269,69.0
6159.0,452.6128555758832,15757396,12,3202365.4237018726,910.0381810171982,15757396,310.0869565217391
6305.0,288.68438691617007,25034260,15,3659068.982849719,646.571863169458,25034260,267.6666666666667
104.0,1066666.6666666667,0,2,0.0,0.0,165,44.0
98.0,1163120.5673758865,0,2,0.0,0.0,141,41.0
140.0,2035.9874539151488,0,1,0.0,0.0,90865,92.5
8740.0,7469.922562738847,1281941,19,108215.19930075727,687.6195653605754,1281941,281.6470588235294
858.0,18210.88974417025,70672,5,13589.57557284259,383.7092649389639,70672,128.7
226.0,6155.584631854407,0,4,18108.303684589933,0.0,67256,69.0
278.0,2107142.8571428573,0,2,0.0,0.0,168,88.5
4019.0,76.87076691811639,59372375,11,18621096.45344221,566.3870183412174,59372375,207.45454545454547
92.0,62.66493264539867,180237574,7,1232363.7799715905,26.558112382722783,3430946,19.545454545454547
162.0,10214.674251546734,0,2,0.0,0.0,24083,61.5
404.0,3824.5875603669015,0,2,0.0,0.0,123412,118.0
111.0,3407.5850318672306,0,1,0.0,0.0,47541,81.0
116.0,1092896.174863388,0,2,0.0,0.0,183,50.0
190.0,2057.001805590474,0,2,0.0,0.0,131259,67.5
102.0,1237410.071942446,0,2,0.0,0.0,139,43.0
192.0,1103.8839733029906,0,2,0.0,0.0,235532,65.0
6330.0,20861.61222523864,365408,13,35158.25904996211,718.0179508743341,365408,331.4347826086956
374.0,9333.41741817494,0,2,0.0,0.0,47571,111.0
204.0,1432835.8208955224,0,2,0.0,0.0,201,72.0
166.0,1303867.403314917,0,2,0.0,0.0,181,59.0
109.0,977.6072601173128,0,1,0.0,0.0,162642,79.5
186.0,5269.794057741425,0,4,27045.98400872115,0.0,61862,54.333333333333336
82.0,2668.8907422852376,0,1,0.0,0.0,47960,64.0
362.0,1315634.2182890854,0,2,0.0,0.0,339,111.5
0.0,0.0,5239276,4,2875211.84704455,0.0,5239276,0.0
166.0,1258215.9624413145,0,2,0.0,0.0,213,67.0
122.0,1065088.7573964498,0,2,0.0,0.0,169,45.0
168.0,161.6083847514318,5507140,9,1808719.9066035624,68.58571279792899,5507140,59.333333333333336
4791.0,48.99179965252048,115937770,21,4941427.401300149,484.5428094714917,115937770,138.53658536585365
113.0,273026.31578947365,0,1,0.0,0.0,608,83.0
92.0,4.13858618760338,186624676,8,21853054.781553928,26.558112382722783,63065015,21.75
264.0,1770491.8032786886,0,2,0.0,0.0,183,81.0
92.0,4.091543408398942,187409263,8,21901999.08280284,23.754297856738823,63790109,18.642857142857142
196.0,1635.9119704324055,0,1,0.0,0.0,148541,121.5
568.0,1556109.7256857855,0,2,0.0,0.0,401,156.0
414.0,19661.5231458437,0,2,0.0,0.0,24108,118.5
8570.0,647.7528352404481,16927753,12,3389723.629632583,758.8067839009595,16927753,378.1034482758621
3776.0,13897.573471569478,297462,8,47873.671236564536,643.0649822751752,297462,258.375
15253.0,5976.537918739447,2769831,16,415091.46232464176,677.6322768519656,2769831,459.8333333333333
116.0,1123595.5056179776,0,2,0.0,0.0,178,50.0
204.0,9323.259926056904,0,2,0.0,0.0,31105,72.5
182.0,7928.956549318109,0,2,0.0,0.0,31530,62.5
7131.0,1314.239825463883,6629688,9,28530.54250022496,682.8023058608464,6629688,458.578947368421
121010.0,1055.8763692124887,115611073,68,3759250.188465522,999.2447380044696,115611073,808.4172185430464
120.0,994594.5945945946,0,2,0.0,0.0,185,46.0
78.0,1048.9798670792654,0,1,0.0,0.0,133463,70.0
104.0,5708.169818052087,0,2,0.0,0.0,30833,44.0
161.0,1492.465786248776,0,1,0.0,0.0,146067,109.0
5086.0,52.38388231667373,118242477,16,20728388.133912,494.76322620016936,118242477,193.5625
332.0,1534545.4545454544,0,2,0.0,0.0,275,105.5
1748.0,13510.76896294935,206798,13,22826.511153136005,456.3361638577907,206798,127.0
490.0,6052.707150588703,0,2,0.0,0.0,90538,137.0
3950.0,4639.29089540408,1002955,11,122172.81640496883,569.9183195064805,1002955,211.5
26229.0,230.7274621194649,116743797,32,4804635.077648763,934.3417125596378,116743797,408.1212121212121
